BlockType,DescriptionType,SentencePosition,Phrase
PoliceDepartment,outside,first,"The police station’s front doors hang open, long abandoned, with a faded badge emblem above the entry."
PoliceDepartment,outside,first,"The once-imposing police station now stands crumbling, its stone facade covered in layers of grime."
PoliceDepartment,outside,first,"The police station is dark and silent, its windows boarded up with old wooden planks."
PoliceDepartment,outside,first,"A rusted squad car sits abandoned in the parking lot, its tires flattened and its windows shattered."
PoliceDepartment,outside,first,"The tall fence around the station is bent and broken, with remnants of barbed wire hanging loosely."

PoliceDepartment,outside,second,"Faded blue and white stripes run along the building's exterior, now barely visible beneath layers of dirt."
PoliceDepartment,outside,second,"A cracked police siren sits atop the roof, rusted and silent, an eerie reminder of days gone by."
PoliceDepartment,outside,second,"The station’s front steps are cracked and covered in weeds, with the metal door partially ajar."
PoliceDepartment,outside,second,"A rusting police vehicle remains parked in the lot, a silent witness to the years of abandonment."
PoliceDepartment,outside,second,"The tall, imposing structure of the police station is now a hollow shell, its windows broken and covered with debris."

PoliceDepartment,outside,third,"The air is thick with the smell of rust and decay, mixing with the faint odor of old gasoline from the vehicles."
PoliceDepartment,outside,third,"The sound of wind howling through the broken windows fills the otherwise silent street."
PoliceDepartment,outside,third,"A lone crow perches on the broken sign, its black feathers stark against the weathered building."
PoliceDepartment,outside,third,"The fading siren light spins slowly on the roof, barely illuminated by the dying sun."
PoliceDepartment,outside,third,"Old police barricades and cones lie scattered around the lot, overtaken by rust and the passing of time."

PoliceDepartment,inside,first,"Inside, old desks are covered with dusty paperwork and abandoned files, some of which are now yellowed and brittle."
PoliceDepartment,inside,first,"The station's interior is dark, with the flickering light of broken bulbs casting eerie shadows across the walls."
PoliceDepartment,inside,first,"The walls are lined with broken chairs and overturned desks, all abandoned in the rush to leave."
PoliceDepartment,inside,first,"Scattered evidence markers and torn uniforms are strewn about the empty offices, remnants of hasty departures."
PoliceDepartment,inside,first,"The interior smells faintly of stale coffee and old paper, with dust collecting on everything in sight."

PoliceDepartment,inside,second,"Faded police posters and old wanted flyers are peeling off the walls, barely visible under layers of dust."
PoliceDepartment,inside,second,"A long-unused interrogation room sits dark and silent, the table covered in rust and the chairs long since broken."
PoliceDepartment,inside,second,"A map of the city hangs crookedly on the wall, its corners curling and edges tattered from years of neglect."
PoliceDepartment,inside,second,"The once-bustling hallway is now eerily quiet, with old, rusted filing cabinets lining the walls."
PoliceDepartment,inside,second,"In the holding cells, the bars are bent and covered in rust, with shattered windows allowing the cold wind to blow through."

PoliceDepartment,inside,third,"The air inside is thick with the scent of mildew, the dampness of the abandoned station seeping into the walls."
PoliceDepartment,inside,third,"The faint echo of dripping water can be heard, adding to the stillness of the otherwise empty building."
PoliceDepartment,inside,third,"Old photographs of police officers in action hang crookedly on the walls, their faces blurred and faded with age."
PoliceDepartment,inside,third,"The long-forgotten dispatch room lies in ruins, with cracked radio equipment and shattered screens littering the floor."
PoliceDepartment,inside,third,"The once-organized police files are now scattered across the floor, with papers crumpled and torn by time."

Church,outside,first,"The church’s steeple rises crookedly against the sky, its cross now worn and rusted from years of neglect."
Church,outside,first,"The weathered stone walls of the church are covered in ivy, with parts of the roof missing, exposing the interior to the elements."
Church,outside,first,"The doors to the church hang loosely on their hinges, cracked and covered in years of grime."
Church,outside,first,"The facade of the church is crumbling, with broken windows revealing the shadowy interior."
Church,outside,first,"The steeple leans dangerously, its stones cracked and chipped, with a faint bell still hanging in the tower."

Church,outside,second,"A tangle of overgrown vines snakes around the entrance, slowly overtaking the building."
Church,outside,second,"The stained glass windows are shattered, leaving only fragments of colored glass scattered on the ground."
Church,outside,second,"A rusted iron fence surrounds the church, with several sections knocked down, allowing weeds to grow freely inside."
Church,outside,second,"The stone path leading to the entrance is cracked and overrun with weeds, barely visible through the wild growth."
Church,outside,second,"The once-pristine grounds are now a graveyard for overgrown grass and neglected statues."

Church,outside,third,"The church is bathed in the dim light of a setting sun, casting long shadows across the neglected yard."
Church,outside,third,"The silence around the church is deafening, broken only by the occasional rustle of leaves in the wind."
Church,outside,third,"A feeling of abandonment hangs heavy over the church, its doors open but the building forgotten by time."
Church,outside,third,"The weathered stone cross atop the church seems to sag under the weight of time, its edges worn smooth by the years."
Church,outside,third,"The building is eerily quiet, with no sounds of life except the distant cries of birds overhead."

Church,inside,first,"The pews are rotting and covered in dust, their once-pristine wood now warped and brittle."
Church,inside,first,"The air is thick with mildew, the faint scent of old incense still lingering despite the years of abandonment."
Church,inside,first,"The altar is covered in cobwebs, with a faded cloth draped over it, stained with years of neglect."
Church,inside,first,"Shattered stained glass windows filter a faint, muted light into the otherwise dark church."
Church,inside,first,"The interior of the church is eerily still, with forgotten hymns echoing faintly in the emptiness."

Church,inside,second,"The walls are cracked and covered in grime, with faded murals of saints barely visible through the layers of dirt."
Church,inside,second,"The pews are overturned, and the floors are littered with broken shards of glass from the windows."
Church,inside,second,"Old candles sit in the remains of their holders, their wax long melted into dark, hardened pools."
Church,inside,second,"The once-vibrant altar is now a rotting husk, the wood cracked and the religious symbols faded."
Church,inside,second,"The air is still and heavy, and the silence is broken only by the faint creaks of the old wooden beams."

Church,inside,third,"A cold draft moves through the shattered windows, adding to the chill that has settled over the abandoned pews."
Church,inside,third,"The faint sound of a distant bell chimes from the ruined steeple above, sending a shiver through the cold air."
Church,inside,third,"The walls are covered in dust and mold, with the faint outline of old church banners still clinging to the walls."
Church,inside,third,"The once grand organ is now a pile of broken pipes and rotting wood, its haunting music long silenced."
Church,inside,third,"A forgotten prayer book lies open on the altar, its pages yellowed and brittle, as if left there just yesterday."

Warehouse,outside,first,"The large metal doors of the warehouse are rusted and barely hanging on their tracks."
Warehouse,outside,first,"The warehouse looms in front of you, its exterior scarred by years of neglect and weathered by time."
Warehouse,outside,first,"A broken loading dock stands at the entrance, with remnants of old crates scattered around the perimeter."
Warehouse,outside,first,"The roof of the warehouse is caved in in some places, and the windows are completely shattered."
Warehouse,outside,first,"The exterior is covered in graffiti, with some of the once-clear signage now faded and barely legible."

Warehouse,outside,second,"The warehouse is surrounded by overgrown grass, and the cracked concrete path leading to the entrance is almost completely overtaken."
Warehouse,outside,second,"The steel structure is dented and battered, with parts of it missing from years of neglect."
Warehouse,outside,second,"A rusted chain-link fence surrounds the area, and the ground is littered with broken debris and discarded tools."
Warehouse,outside,second,"The exterior of the warehouse is weather-beaten, with rust stains streaking down the walls where rainwater has run off."
Warehouse,outside,second,"Faded signs still cling to the walls, remnants of what once was a thriving hub of activity."

Warehouse,outside,third,"The air smells faintly of oil and decay, as the wind whispers through the gaps in the warehouse's structure."
Warehouse,outside,third,"A sense of abandonment pervades the space, with only the sound of distant crows filling the otherwise quiet air."
Warehouse,outside,third,"The warehouse stands in eerie silence, its dark silhouette against the sky giving it a foreboding presence."
Warehouse,outside,third,"Old rusted cargo containers are scattered around the perimeter, some open and spilling their contents onto the ground."
Warehouse,outside,third,"The entrance to the warehouse is almost completely blocked by piles of old machinery and junk."

Warehouse,inside,first,"The floor is littered with broken crates and rusted machinery, remnants of a time long past."
Warehouse,inside,first,"The air is thick with dust, and the faint smell of oil and metal lingers in the otherwise still atmosphere."
Warehouse,inside,first,"Rows of empty shelves line the walls, some sagging under the weight of forgotten materials and broken equipment."
Warehouse,inside,first,"The interior is dimly lit by flickering overhead lights, casting long shadows across the abandoned space."
Warehouse,inside,first,"The echo of your footsteps reverberates in the vast emptiness of the warehouse, adding to the sense of isolation."

Warehouse,inside,second,"Rusting industrial equipment sits in the corners, covered in layers of dust and debris from years of disuse."
Warehouse,inside,second,"The walls are stained with oil and grime, the once-pristine concrete floors now cracked and uneven."
Warehouse,inside,second,"Stacks of abandoned boxes line the shelves, some crushed under the weight of others, their contents spilling out."
Warehouse,inside,second,"The overhead lights flicker sporadically, casting an unsettling glow over the cluttered aisles and abandoned workstations."
Warehouse,inside,second,"A faint squeak of metal echoes through the air as the building shifts, adding to the eerie atmosphere."

Warehouse,inside,third,"The silence inside the warehouse is broken only by the occasional drip of water leaking from the damaged roof."
Warehouse,inside,third,"A single broken window lets in a shaft of light, illuminating the dust particles floating in the air."
Warehouse,inside,third,"The floor is covered in layers of grime and rust, with tools scattered about and remnants of forgotten projects."
Warehouse,inside,third,"Old metal beams creak overhead, and the occasional rat scurries across the floor, startled by your presence."
Warehouse,inside,third,"A faint smell of decay and rust hangs in the air, with the distant sound of wind whistling through cracks in the walls."

AutoRepair,outside,first,"The auto repair shop is a crumbling shell, with the faded remnants of a once-vibrant sign hanging loosely above the door."
AutoRepair,outside,first,"The building's exterior is rusted and beaten by the elements, the paint chipped and peeling."
AutoRepair,outside,first,"Broken car parts and abandoned tools are scattered around the entrance, a testament to the shop's former purpose."
AutoRepair,outside,first,"A large bay door stands half open, revealing shadows of what might have once been a working garage."
AutoRepair,outside,first,"The small, dilapidated structure is surrounded by piles of scrap metal, old tires, and other discarded automotive debris."

AutoRepair,outside,second,"The windows are cracked, and the faded sign above the door barely reads 'Auto Repair' through the grime."
AutoRepair,outside,second,"The garage doors are rusted and stuck, with a tangle of metal wires hanging from one corner."
AutoRepair,outside,second,"Oil stains cover the cracked concrete outside, and a pile of scrap metal blocks the walkway leading to the entrance."
AutoRepair,outside,second,"The once-bustling service station now stands silent, its bay doors ajar but its insides long emptied of life."
AutoRepair,outside,second,"The concrete outside is chipped and worn, with tire tracks leading up to the entrance, long since abandoned."

AutoRepair,outside,third,"A faint smell of gasoline and oil still lingers in the air, though the building seems otherwise abandoned."
AutoRepair,outside,third,"The cracked asphalt outside is littered with broken tools and pieces of wrecked cars, evidence of past repairs."
AutoRepair,outside,third,"Dust settles over the exterior, but an occasional gust of wind shifts the litter around the yard."
AutoRepair,outside,third,"An eerie quiet surrounds the building, with only the sound of creaking metal from within breaking the silence."
AutoRepair,outside,third,"The garage is dark, its windows covered in grime, but the outline of vehicles can still be seen inside."

AutoRepair,inside,first,"The interior is cluttered with rusted tools, disassembled car parts, and broken machines scattered haphazardly across the floor."
AutoRepair,inside,first,"The walls are covered in oil stains and grease marks, with shelves of tools and parts lining the corners."
AutoRepair,inside,first,"A single flickering light overhead casts long shadows across the abandoned service bays, with old car engines lying in pieces on the floor."
AutoRepair,inside,first,"The scent of stale gasoline and oil fills the air, mixing with the musty smell of old tires and mechanical parts."
AutoRepair,inside,first,"Empty toolboxes are scattered around the workshop, and old, rusted car parts sit in piles in every corner."

AutoRepair,inside,second,"The workbenches are cluttered with tools and broken car components, while grease-stained rags lie abandoned on the floor."
AutoRepair,inside,second,"The overhead lights flicker intermittently, casting a dim glow over the heaps of metal, wires, and discarded tires."
AutoRepair,inside,second,"Old vehicles, stripped of valuable parts, sit motionless in the service bays, covered in dust and cobwebs."
AutoRepair,inside,second,"Oil stains the cracked concrete floor, and the hum of an old refrigerator can be heard faintly in the back."
AutoRepair,inside,second,"Rusting car parts are stacked against the walls, and the smell of mechanical oil still hangs in the air."

AutoRepair,inside,third,"The building is eerily silent except for the occasional creak of the metal structure shifting with age."
AutoRepair,inside,third,"A lone car frame sits near the back, its rusted body a reminder of the shop’s former purpose."
AutoRepair,inside,third,"The remains of old repair manuals and scraps of paper litter the workbenches, forgotten after years of neglect."
AutoRepair,inside,third,"The workshop has a haunting stillness, with only the faint sound of a door creaking in the wind breaking the silence."
AutoRepair,inside,third,"A couple of broken tools lie abandoned on the counter, and an old car battery leaks in the corner of the room."

Factory,outside,first,"The factory is a hulking structure of rusted metal and cracked concrete, its massive smokestacks towering above the surrounding landscape."
Factory,outside,first,"Broken windows line the upper floors, and the faint echo of machinery can still be heard from within."
Factory,outside,first,"The factory's perimeter is surrounded by tall, decaying fences, and piles of scrap metal lie scattered around the entrance."
Factory,outside,first,"The once-bustling factory now stands silent, its rusty exterior and half-collapsed roof offering a grim reminder of past industry."
Factory,outside,first,"Giant gears and metal beams lie discarded in the yard, covered in dust and rust."

Factory,outside,second,"The factory's smokestacks are now silent, their chimneys cracked and crumbling, leaving behind a haunting shell of their former purpose."
Factory,outside,second,"Tall chain-link fences surround the property, sagging and rusted with age, while bits of broken machinery litter the ground outside."
Factory,outside,second,"A thick layer of dust and debris coats the exterior, and the windows are cracked and weathered, barely revealing the darkness within."
Factory,outside,second,"Crows perch on the rusted girders, their calls the only sound as they circle the desolate, abandoned factory."
Factory,outside,second,"The factory yard is scattered with broken equipment and abandoned vehicles, a testament to a time long passed."

Factory,outside,third,"The factory is a ghost of its former self, its faded sign hanging crookedly, almost obscured by rust and age."
Factory,outside,third,"The building’s once-pristine walls are now peeling and cracked, with large sections of the roof collapsed in on themselves."
Factory,outside,third,"The factory grounds are eerily quiet, with only the distant rustle of wind moving through the abandoned machinery."
Factory,outside,third,"A faint, oily smell lingers in the air around the factory, mixed with the scent of decay and long-abandoned work."
Factory,outside,third,"The broken windows rattle in the wind, and the factory stands as a monument to industrial collapse."

Factory,inside,first,"The interior is a cavernous space, filled with rusted machinery, broken conveyor belts, and discarded tools."
Factory,inside,first,"Dust motes dance in the dim light filtering through broken windows, and the air is thick with the smell of oil and metal."
Factory,inside,first,"Massive, rusted machines sit idle, their gears frozen and covered in cobwebs, with abandoned workstations scattered throughout the room."
Factory,inside,first,"The factory floor is littered with torn blueprints and broken equipment, a stark contrast to its once-bustling energy."
Factory,inside,first,"Oil stains and metal shavings cover the floors, and the faint echo of past operations can still be heard in the empty halls."

Factory,inside,second,"The air is damp and stale, filled with the scent of rust and rotting machinery that hasn’t been used in years."
Factory,inside,second,"The factory floor is covered in debris—shattered glass, broken tools, and discarded parts—remnants of a forgotten era of production."
Factory,inside,second,"Old factory machines, now in disrepair, sit like hulking monsters waiting for a master to return and put them to work."
Factory,inside,second,"Dim, flickering lights barely illuminate the expanse of the factory, where rows of abandoned assembly lines sit untouched."
Factory,inside,second,"The sound of dripping water echoes through the factory, as rust creeps along the walls and ceilings."

Factory,inside,third,"The factory is eerily silent, except for the occasional creak of old machinery and the hum of a malfunctioning generator."
Factory,inside,third,"Long-abandoned workstations sit in disarray, with tools scattered across desks and broken machinery hanging half-completed from the ceilings."
Factory,inside,third,"The air is heavy with the smell of old oil and the metallic scent of decaying machines, an industrial graveyard."
Factory,inside,third,"Rusty gears and broken pipes line the walls, and dust settles over the once-pristine machinery, which is now long inactive."
Factory,inside,third,"The factory floor is littered with broken glass, and empty crates line the walls, remnants of products long since shipped out and forgotten."

School,outside,first,"The school building is a once-pristine structure now weathered by time, with chipped paint and overgrown vines creeping along its walls."
School,outside,first,"The playground is silent, with broken swings swaying in the breeze and scattered debris covering the cracked pavement."
School,outside,first,"The school's windows are shattered, and the doors hang off their hinges, barely holding on to the frame."
School,outside,first,"A large sign once proudly displayed the school’s name, but now it is barely legible, faded by years of neglect."
School,outside,first,"The school yard is overrun with weeds, and the cracked concrete is littered with remnants of what used to be a bustling playground."

School,outside,second,"The school stands as a monument to the past, its once vibrant colors now dulled and chipped, its windows boarded up."
School,outside,second,"The school's brick walls are cracked and faded, with remnants of old murals peeling off in places."
School,outside,second,"A sense of abandonment hangs in the air as the school’s broken windows and overgrown yard paint a picture of neglect."
School,outside,second,"The school's exterior is scarred by time, the large front doors now missing and replaced by shattered glass and metal scraps."
School,outside,second,"The playground is quiet, the swings and seesaws rusted and unmoving, surrounded by tall grass that has overtaken the field."

School,outside,third,"The school stands half-collapsed, its roof caving in at various points, but still somehow holding on."
School,outside,third,"The walls are covered in grime and graffiti, and the school’s front steps have crumbled away, leaving only a faint outline of what was once there."
School,outside,third,"The old school bell tower is crooked and silent, its bell missing, leaving only the remnants of its once proud structure."
School,outside,third,"The overgrown schoolyard is filled with the husks of old playground equipment, now rusted and abandoned."
School,outside,third,"Broken windows and rotting walls reveal the decay of the school, with little left standing to remind one of its former purpose."

School,inside,first,"The school hallways are eerily quiet, lined with lockers that are rusted and half-open, filled with abandoned books and papers."
School,inside,first,"Classrooms sit in disarray, chairs toppled over and blackboards covered in dust, as if the students left in a hurry."
School,inside,first,"The air is thick with dust, and the faint smell of mildew lingers in the classrooms, where once lively students gathered."
School,inside,first,"Desks are overturned, papers scattered across the floor, and the walls are peeling with age and neglect."
School,inside,first,"The halls are dark and musty, with broken lights flickering overhead and the faint sound of distant creaks and groans."

School,inside,second,"The classrooms are filled with forgotten textbooks, old chalkboards covered in faint writing, and empty desks that have long since gathered dust."
School,inside,second,"The smell of mildew and decay fills the air, as broken windows allow the wind to stir the detritus left behind by former students."
School,inside,second,"Old posters and bulletin boards hang crookedly on the walls, faded from years of exposure to the elements."
School,inside,second,"The cafeteria is empty, with overturned tables and half-eaten meals left to rot in the corners of the room."
School,inside,second,"The school's interior is crumbling, with cracked floors, broken chairs, and walls that are barely standing."

School,inside,third,"The floors creak with each step, and dust clouds rise from the broken tiles that cover the halls."
School,inside,third,"Broken windows let in the sun, casting long shadows across abandoned desks and chairs, while the walls show signs of decay."
School,inside,third,"The faint remnants of old graffiti and student artwork line the hallways, now faded and almost unrecognizable."
School,inside,third,"The smell of rotting paper and mildew hangs in the air, and remnants of old textbooks can be seen scattered across the floor."
School,inside,third,"The classrooms are ghostly, filled with cracked desks, peeling paint, and the remnants of lessons long forgotten."

Museum,outside,first,"The museum's grand entrance is overrun with vines, the doors slightly ajar, hinting at the forgotten history inside."
Museum,outside,first,"A large stone archway marks the entrance, but the once-polished marble is now chipped and covered in moss."
Museum,outside,first,"The museum’s towering structure is weathered and crumbling, with faded inscriptions barely visible above the entrance."
Museum,outside,first,"The museum's facade is cracked and broken, the once majestic building now a shadow of its former self."
Museum,outside,first,"The large columns at the front are half-collapsed, and the grand doors hang loosely, waiting to fall apart."

Museum,outside,second,"The museum's exterior is covered in ivy, with the shattered glass of the entrance revealing a dark, desolate interior."
Museum,outside,second,"The once vibrant building is now a hollow shell, with broken windows and rusted gates guarding the entrance."
Museum,outside,second,"The façade of the museum is faded, with old statues standing guard, their features eroded by time and decay."
Museum,outside,second,"The exterior is silent, with a tattered sign still barely readable, hinting at the treasures once housed inside."
Museum,outside,second,"The broken museum walls stand against the wind, a testament to the time and decay, with no one left to admire its former grandeur."

Museum,outside,third,"The museum’s stone walls are worn and cracked, the remains of once-beautiful sculptures scattered in front of its entrance."
Museum,outside,third,"Shattered windows reveal empty halls, the grand pillars now cracked, with remnants of history buried under layers of dust."
Museum,outside,third,"The towering structure looms in the distance, its grand design still visible through the broken and deteriorating façade."
Museum,outside,third,"The iron gates are rusted, barely hanging on, while the walls of the museum show signs of battle and time’s cruel passage."
Museum,outside,third,"The museum stands desolate, its once-proud architecture now collapsing, but fragments of its grandeur still peek through the decay."

Museum,inside,first,"The halls are empty, with old exhibit cases overturned, and dusty remnants of artifacts scattered across the floor."
Museum,inside,first,"Faded display boards hang on cracked walls, and broken glass litters the floor, a stark contrast to the museum’s former glory."
Museum,inside,first,"The museum’s interior is dark, filled with the smell of decay, with tattered paintings and broken relics lying in heaps."
Museum,inside,first,"Old museum exhibits lie abandoned, with dusty skeletons of artifacts once on display, now long forgotten."
Museum,inside,first,"Once grand showcases are now empty and shattered, with the remnants of what was once a place of history scattered around."

Museum,inside,second,"The museum’s interior is filled with broken glass, empty display cases, and the remains of the exhibits that once told stories of the past."
Museum,inside,second,"Dust covers the floor and walls, while shattered relics and disheveled exhibits serve as silent reminders of a forgotten time."
Museum,inside,second,"Old artifacts sit in broken displays, with a strange stillness in the air as remnants of the past sit abandoned and untouched."
Museum,inside,second,"Faded posters line the walls, and the dim light filtering through broken windows casts a melancholic glow on the desolate exhibits."
Museum,inside,second,"The walls are cracked, and forgotten artifacts lie in piles, covered in dust and cobwebs, the once-pristine exhibits long gone."

Museum,inside,third,"The once-grand exhibits are now in ruin, with shattered glass cases and remnants of old relics scattered across the floors."
Museum,inside,third,"The air is thick with the smell of mildew, and old museum displays sit in ruins, telling a story of neglect and decay."
Museum,inside,third,"Broken sculptures and abandoned artifacts fill the halls, the dusty remnants of history now left to deteriorate in silence."
Museum,inside,third,"The museum is eerily quiet, its exhibits rotting away, and only the faintest echo of what once was remains."
Museum,inside,third,"The dim light from shattered skylights casts ghostly shadows on the remains of exhibits, where history now fades into dust."

Nightclub,outside,first,"The nightclub’s once-glowing neon sign flickers weakly, casting an eerie light on the crumbling exterior."
Nightclub,outside,first,"The nightclub’s entrance is covered in graffiti, the bright neon lights long since burned out, and the door hangs loosely on its hinges."
Nightclub,outside,first,"The nightclub is a dark silhouette, with shattered windows and a flickering neon sign that barely works anymore."
Nightclub,outside,first,"The exterior is covered in decay, with rusted metal framing the once-vibrant neon signs, now dim and barely noticeable."
Nightclub,outside,first,"A faded neon sign barely illuminates the abandoned nightclub, while the door creaks in the wind, almost ready to fall off."

Nightclub,outside,second,"The once-lively building stands empty and abandoned, with broken windows and cracked neon lighting that no longer shines."
Nightclub,outside,second,"The nightclub’s exterior is dark and lifeless, with only the remnants of the past clinging to the decaying walls."
Nightclub,outside,second,"The street outside is eerily quiet, the nightclub’s facade dark and dilapidated, its former glow lost to time."
Nightclub,outside,second,"The exterior is covered in graffiti, while the entrance door swings open, revealing only darkness inside."
Nightclub,outside,second,"The darkened windows and peeling paint give the nightclub an abandoned look, with only the flicker of a broken sign left to hint at its past."

Nightclub,outside,third,"The nightclub stands like a forgotten ruin, its exterior damaged and its former vibrancy erased by time and neglect."
Nightclub,outside,third,"The walls of the nightclub are cracked and faded, its neon sign barely illuminating the ghost of what once was."
Nightclub,outside,third,"The entrance is overrun with weeds, and the crumbling facade tells of a place once full of life, now completely abandoned."
Nightclub,outside,third,"The nightclub’s exterior is silent, the remnants of its glorious past barely visible behind shattered windows and decaying walls."
Nightclub,outside,third,"A few broken neon lights flicker weakly above the entrance, hinting at a once-popular nightclub now lost to time."

Nightclub,inside,first,"The dance floor is empty and covered in dust, with the once-vibrant lights now broken and dark."
Nightclub,inside,first,"The nightclub’s interior is eerily silent, with old speakers cracked and the walls covered in graffiti."
Nightclub,inside,first,"The floor is littered with broken glass, and the sound of broken music equipment echoes through the empty club."
Nightclub,inside,first,"The once-crowded dance floor is now covered in dust and debris, with flickering lights casting an eerie glow."
Nightclub,inside,first,"The air smells stale, with the remains of broken furniture scattered around, and the dance floor left silent and empty."

Nightclub,inside,second,"The walls are covered in peeling paint, and the floor is littered with remnants of the past, from broken bottles to old records."
Nightclub,inside,second,"Old disco balls hang from the ceiling, but the dance floor is empty, the once-lively space now abandoned."
Nightclub,inside,second,"The empty bar stands against the wall, with dust-covered bottles still behind it, as the broken sound system lies silent."
Nightclub,inside,second,"The air is thick with the smell of mildew, and the remains of old club equipment litter the dark corners of the room."
Nightclub,inside,second,"The empty nightclub feels like a forgotten space, with broken furniture and abandoned drink glasses scattered on the floor."

Nightclub,inside,third,"The nightclub is dark and hollow, the remnants of a loud and lively place now nothing more than a ghostly shell."
Nightclub,inside,third,"Broken glass and overturned chairs litter the floor, while the remains of old decorations hang loosely from the walls."
Nightclub,inside,third,"The air is thick with the stench of rot, and the remnants of what was once a lively space now serve as a silent reminder of its former glory."
Nightclub,inside,third,"The nightclub's walls are cracked and peeling, the dance floor covered in dust, and a few broken lights flicker above the emptiness."
Nightclub,inside,third,"The once-glamorous interior now lies in ruins, with overturned tables, broken bottles, and a faint scent of stale liquor lingering in the air."

Pub,outside,first,"The pub’s once-vibrant sign now hangs loosely, its neon lights long dead, casting no glow on the decaying exterior."
Pub,outside,first,"The exterior of the pub is worn, with faded paint and broken windows, the entrance door hanging ajar."
Pub,outside,first,"The pub’s facade is cracked and weathered, with a rusted sign swaying gently in the wind."
Pub,outside,first,"The pub stands silent and forgotten, its door slightly open, revealing only darkness inside."
Pub,outside,first,"The pub’s sign is barely visible behind layers of grime, the windows shattered, and the front door creaking on its hinges."

Pub,outside,second,"The building stands worn and abandoned, its windows shattered, and the neon sign is now just a memory of its past glory."
Pub,outside,second,"The pub’s exterior is weathered, the paint peeling away, and the once-bustling entrance now abandoned and eerily quiet."
Pub,outside,second,"The darkened pub stands empty, its broken windows and flickering sign a sad reminder of the past."
Pub,outside,second,"The pub looks lifeless, with graffiti covering the walls, the broken sign flickering weakly in the wind."
Pub,outside,second,"The pub’s front door is slightly ajar, and the faded sign hangs limply above the crumbling entrance."

Pub,outside,third,"The pub is a shadow of its former self, with peeling paint, broken windows, and a sign that barely glows anymore."
Pub,outside,third,"The facade of the pub is worn down and weathered, the once-cheerful entrance now a dark and desolate space."
Pub,outside,third,"The building’s exterior is chipped and dilapidated, with the pub’s former vibrancy now replaced by decay."
Pub,outside,third,"The pub’s sign hangs crookedly, the doors ajar, and the windows cracked, giving a glimpse of the abandoned interior."
Pub,outside,third,"A faded sign and broken windows mark the pub’s entrance, with the building now covered in layers of dust and neglect."

Pub,inside,first,"The bar is empty, with overturned chairs scattered across the floor and spilled liquor staining the counters."
Pub,inside,first,"The once-bustling pub now lies in silence, the chairs are overturned, and empty bottles litter the floor."
Pub,inside,first,"The shelves are dusty and bare, the bar top sticky with spilled drinks, and broken glasses lay scattered around."
Pub,inside,first,"The smell of stale beer fills the air, while cracked chairs and overturned tables are left in disarray."
Pub,inside,first,"The walls are cracked, and the floor is littered with broken glass, the once-popular bar now eerily quiet."

Pub,inside,second,"The pub’s tables are overturned, and the remains of old bottles and glasses litter the floor, a testament to a time long gone."
Pub,inside,second,"The bar counter is covered in grime, with old, broken stools scattered around, and the air smells of decay."
Pub,inside,second,"The pub’s dimly lit interior holds broken furniture, old bottles, and the remnants of its past patrons scattered around."
Pub,inside,second,"The room is covered in dust, the once-bustling tables and chairs now abandoned and forgotten."
Pub,inside,second,"The bar stands empty, the old tap leaking a steady drip, while the floor is littered with debris and broken furniture."

Pub,inside,third,"The pub’s interior is dark and eerie, the broken furniture scattered across the floor, and the air thick with the smell of stale beer."
Pub,inside,third,"The bar is completely empty, with the remains of old patrons’ drinks still on the tables and chairs."
Pub,inside,third,"The walls are covered in cracks, and broken stools and tables are scattered throughout the room."
Pub,inside,third,"The once-vibrant pub now lies silent, with broken bottles and overturned chairs littering the dusty floor."
Pub,inside,third,"The air is thick with the smell of stale beer and decay, and the furniture is broken, as though abandoned in a rush."
